subject,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_MOD,0.8200064996065279,0.7903499317618351,0.7296926799017335,0.7195683391009294,0.8102912654189438,0.7335419340273434,0.7774717051255661,0.7243508351729491
Sub_1_PLB,0.8623945905859015,1.120273382761661,0.8430114998596215,0.9139111153352983,0.8474073014920801,0.8586219148333141,0.9526610871741894,0.8090084566419111
Sub_2_MOD,0.8401122643111174,0.97969977155085,1.003550241563002,1.0776067091559116,0.9560583159952329,0.9918372806874386,0.8272101057568901,0.9402613049121126
Sub_2_PLB,0.8796062192738707,0.7994132863517922,0.683265282479934,0.7508705420340157,0.7893040454821271,0.7192269071549802,0.9126545093568634,0.700328050770492
Sub_3_MOD,0.590350878412256,0.6000317086247565,0.5879808029935665,0.5785718397028877,0.5747577461699817,0.45917516459887625,0.692225188165024,0.5934226793034798
Sub_3_PLB,0.8552308056895651,0.7969810276735068,0.7642533263426736,0.9144408416278681,0.875398622144845,0.8517912815503628,0.9124358374977518,0.8221941598384349
Sub_4_MOD,0.946257601106498,0.9283667258805414,0.9236989725161837,0.9351331263282063,0.888637857227959,0.9998320414043642,0.7972488040295959,0.921649066988407
Sub_4_PLB,1.1487471401353997,0.9209976249579223,0.9669116721792207,0.9926495257192812,0.9750593671901056,0.8667617971718083,0.9276205806175299,0.9441802159717507
Sub_5_MOD,0.8436540688756826,0.9355699466513725,0.8682091273105932,0.9066934237810041,0.8246688522572235,0.8855610446882171,0.8033503706250184,0.8577999212262505
Sub_5_PLB,0.7406301909501403,0.8614936567062985,0.678505611360277,0.680850896154737,0.6116267361264444,0.5132215810704336,0.5975140526977267,0.5711362125750428
Sub_6_MOD,0.7467837028423323,1.0011413568532272,0.8794181502607639,0.878716913337654,0.794713201561414,1.016703985885445,0.8609978201955627,0.870660322724504
Sub_6_PLB,1.1603627456211547,0.9789110045927052,0.9868063981296494,1.154200295252712,1.064143729070838,1.0556945517875662,1.2934632997645708,1.0068005232470034
Sub_7_MOD,0.8436873948210375,0.9469011531825983,0.8619280895114898,0.8444115591728905,0.7935939080045149,0.8438703035750368,0.7738481202488056,0.8087716204329866
Sub_7_PLB,1.0147503601119023,1.0154204042556927,0.8922032903790864,0.9019851266513627,0.8870157741691379,0.9607507848586125,0.9190440527069347,0.873842211253981
Sub_8_MOD,0.8879105522532388,0.7792316982418486,0.7685749376672477,0.7470537888653994,0.780008724379053,0.7013089089141553,0.7082160786833692,0.7463054763746205
Sub_8_PLB,0.8339756830248319,0.9968510890173169,0.9377543477993541,0.9529535301428391,0.8714413472099384,0.9286486350687199,1.041873095817531,0.9131298688091947
Sub_9_MOD,0.9984415798737292,0.9187711756549879,0.8321285852787202,0.9582712102319629,0.9601484265036649,0.977116862822599,0.9303679319546291,0.8928444470737894
Sub_9_PLB,1.0231992156188245,0.8552537200480392,0.8877153155351557,0.9433166029825081,0.8507216828397585,0.8668721505646152,0.9790205814483441,0.7916400477397317
Sub_10_MOD,0.7735364138924725,0.7369346403652873,0.8576820230651407,0.7651175232471547,0.7299886783298041,0.7390000582275821,0.8386147301729586,0.7148873341277994
Sub_10_PLB,0.7200719891399747,0.697917524541219,0.7820164851677631,0.7786277348013522,0.7531153507957823,0.9255845721908456,0.9719436287209537,0.8011034061894096
Sub_11_MOD,0.9163950623780126,0.8427312157395264,0.7561350628739885,0.8793488889357954,0.8384863259521959,0.8936556461034371,0.9217860014512927,0.8185628486496945
Sub_11_PLB,0.8405295040747373,0.7711004393811798,0.79966981422386,0.6675059682971263,0.7925879043506318,0.7937166017663401,0.8185816997771855,0.6708959471403182
Sub_12_MOD,0.651900735177785,0.7533573883492062,0.8825258700176871,0.7286793023899969,0.6143670886105306,0.7002672521132361,0.6668917544228009,0.7179856232896802
Sub_12_PLB,0.5627772094616128,0.7043638056327318,0.681592992363349,0.6530100605502099,0.593995619275181,0.47529625633075606,0.46910661911240564,0.6319893093712846
Sub_13_MOD,1.0129121316955858,0.902774922998344,0.9955099511937716,0.9351851017007038,0.9127716294883019,1.0216703407873406,0.8877811036029039,0.8200334640202342
Sub_13_PLB,0.7320117786328386,0.7443245059577119,0.7351342354559226,0.7471431742774868,0.7559044265128995,0.7175767945355118,0.7126352032220706,0.7103035712390486
Sub_14_MOD,0.9039964844976378,0.8605010166130732,0.796198830045643,0.7834308470634725,0.776692033569133,0.7907857348260752,0.7300005426436369,0.8101822340782713
Sub_14_PLB,0.8457306806270068,0.9887972051344945,0.823386317208447,0.9978815979351234,0.8395324931784056,0.7775951304331307,0.8110638437471664,0.79496236926234
Sub_15_MOD,0.8057807110369447,0.8554894390541097,0.951729248527305,0.8388475031367694,0.900677241236601,1.0125623676054007,0.9877823499544511,0.909044469220205
Sub_15_PLB,1.013967581429406,0.8350584930055576,0.8857191862526175,0.8444335958781686,0.7798241114136397,0.9169271730174243,0.7758103747031952,0.8032364609730106
Sub_16_MOD,0.9113919836082616,0.7008263423014561,0.7970967447663652,0.8770124646447087,0.7224538530666946,0.8465842412651957,0.7705077141978746,0.8061485068569189
Sub_16_PLB,0.8110190431072801,0.6961445349132372,0.9727319694321193,0.7582254321723938,0.8286816323511973,0.9375147253753768,0.8443751431943779,0.799956899154636
Sub_17_MOD,0.9182583185509104,1.1421625923265917,1.0910965618507589,0.994195250015024,1.0351576956437687,0.9177988895320495,1.0022531362312264,0.970855946672527
Sub_17_PLB,0.7346264958421268,0.9041212466457772,1.0291906957956725,0.8601519387228718,0.8771608503568092,0.8418355528189782,0.6438030632495504,0.9222401158771765
Sub_18_MOD,0.7251509828310767,1.0417814857033671,0.7773434992251962,0.7644290492687442,0.854390044246301,0.7178186778479866,1.0021621246478691,0.7255466906753392
Sub_18_PLB,0.8044478098579075,0.6361846801090474,0.9059657016971336,0.7694931053297441,0.7669253782387407,0.7946956270395511,0.8932612699884187,0.8099227898509198
Sub_19_MOD,0.4521348108890847,0.9092922240296575,0.7427612786704785,0.6252551531347684,0.6479017673634899,0.576957079016132,0.45720270453991735,0.6007232428777257
Sub_19_PLB,0.6276552101930359,0.728386977115101,0.737923634502759,0.7064508822276985,0.6701042929879437,0.6689592914326625,0.5448109353476009,0.6460863904468773
Sub_20_MOD,0.9222395211270147,0.8331301169343043,0.9293700218321099,0.8576446796033352,0.8281269552573012,0.8703413259877786,0.8103402176852657,0.8102184793697231
Sub_20_PLB,0.8289590587421991,1.1103253130549404,0.8069210762581557,0.8879343023535764,0.7798575068742032,0.9243673151906011,0.9157463076736272,0.8016297620562132
Sub_21_MOD,0.7395474743636126,0.6802916492886356,0.7840874673009312,0.7451249043824817,0.6922961272625566,0.7816216101750705,0.7765578567695887,0.7634601382487161
Sub_21_PLB,0.9280442674434631,0.7986661780707578,0.9366121114267031,0.9159810042034818,1.031511032424151,0.9608615544415791,1.1837768844662249,0.9075900646617431
Sub_22_MOD,0.8501097222881757,0.8121136261406707,0.8451146843582998,0.8191626444833877,0.7786082201596912,0.8467392750040308,1.010487878684855,0.7975943938301036
Sub_22_PLB,0.9204990630768368,0.8973453767466897,0.721812178590725,0.7724762720272451,0.7668755628489298,0.7477943666918735,0.7281067088014394,0.8154301479522379
Sub_23_MOD,0.9232523886194949,0.9454842033082496,0.8726436459648033,0.8361055849962675,0.814120134388847,0.987476595938632,0.8397337831462952,0.7742545378249995
Sub_23_PLB,0.7496757479720342,0.8494260191507065,0.6658158121141442,0.7068944729172971,0.6653344885925234,0.5165989883288344,0.750596527880919,0.6602992200066373
Sub_24_MOD,0.9008053360537295,1.0005108554108821,0.8634079331529495,0.8551348679742723,0.8770115383349542,0.9213584535070481,0.811050494806633,0.8050938483217965
Sub_24_PLB,0.6131513183469872,0.8886598431310423,0.7257670243669759,0.6794636059372354,0.6202674300960281,0.7032831140048388,0.4354683793786552,0.7145274402340503
